* This data was exported from the Dayton Audio Test System: DATS
* Voice Coil: EX32VBDS-4 with button
* Piston Diameter = 0 mm
* f(s)= 42.33 Hz
* R(e)= 3.582 Ohms
* Z(max)= 27.06 Ohms
* Q(ms)= 11.44
* Q(es)= 1.746
* Q(ts)= 1.515
* V(as)= 0 liters     (0 cubic feet)
* L(e)= 0.7456 mH
* n(0)= 0 %
* SPL= 0 1W/1m
* M(ms)= 0 grams
* C(ms)= 0 mm/N
* BL= 0 
* K(r)= 0.01398 
* X(r)= 0.635 
* K(i)= 0.009797 
* X(i)= 0.7148 
*
*
Freq            Impedance       Phase
1.029    	3.580    	1.479    
1.059    	3.580    	1.479    
1.091    	3.580    	1.479    
1.122    	3.580    	1.479    
1.155    	3.580    	1.479    
1.189    	3.580    	1.479    
1.224    	3.580    	1.479    
1.260    	3.580    	1.479    
1.297    	3.580    	1.479    
1.335    	3.577    	1.588    
1.374    	3.577    	1.588    
1.414    	3.577    	1.588    
1.456    	3.577    	1.588    
1.498    	3.577    	1.588    
1.542    	3.577    	1.588    
1.587    	3.577    	1.588    
1.634    	3.577    	1.588    
1.682    	3.579    	1.713    
1.731    	3.579    	1.713    
1.782    	3.579    	1.713    
1.834    	3.579    	1.713    
1.888    	3.579    	1.713    
1.943    	3.579    	1.713    
2.000    	3.585    	1.896    
2.059    	3.585    	1.896    
2.119    	3.585    	1.896    
2.181    	3.585    	1.896    
2.245    	3.585    	1.896    
2.311    	3.585    	1.896    
2.378    	3.585    	2.120    
2.448    	3.585    	2.120    
2.520    	3.585    	2.120    
2.594    	3.585    	2.120    
2.670    	3.575    	2.372    
2.748    	3.575    	2.372    
2.828    	3.575    	2.372    
2.911    	3.575    	2.372    
2.997    	3.569    	2.633    
3.084    	3.569    	2.633    
3.175    	3.569    	2.633    
3.268    	3.569    	2.633    
3.364    	3.576    	2.916    
3.462    	3.576    	2.916    
3.564    	3.576    	2.916    
3.668    	3.580    	3.228    
3.775    	3.580    	3.228    
3.886    	3.580    	3.228    
4.000    	3.588    	3.539    
4.117    	3.588    	3.539    
4.238    	3.588    	3.539    
4.362    	3.589    	3.840    
4.490    	3.589    	3.840    
4.621    	3.589    	3.840    
4.757    	3.598    	4.140    
4.896    	3.598    	4.140    
5.040    	3.610    	4.440    
5.187    	3.610    	4.440    
5.339    	3.623    	4.738    
5.496    	3.623    	4.738    
5.657    	3.635    	5.020    
5.823    	3.635    	5.020    
5.993    	3.634    	5.282    
6.169    	3.634    	5.282    
6.350    	3.626    	5.541    
6.536    	3.626    	5.541    
6.727    	3.619    	5.817    
6.924    	3.619    	5.817    
7.127    	3.620    	6.121    
7.336    	3.626    	6.446    
7.551    	3.626    	6.446    
7.772    	3.631    	6.778    
8.000    	3.631    	7.116    
8.234    	3.631    	7.116    
8.476    	3.628    	7.464    
8.724    	3.631    	7.822    
8.980    	3.647    	8.173    
9.243    	3.647    	8.173    
9.514    	3.668    	8.501    
9.792    	3.682    	8.806    
10.079    	3.683    	9.091    
10.375    	3.681    	9.357    
10.679    	3.687    	9.614    
10.992    	3.700    	9.872    
11.314    	3.705    	10.145    
11.645    	3.696    	10.451    
11.986    	3.682    	10.808    
12.338    	3.676    	11.223    
12.699    	3.679    	11.678    
13.071    	3.684    	12.146    
13.454    	3.690    	12.607    
13.849    	3.708    	13.038    
14.254    	3.736    	13.402    
14.672    	3.784    	13.774    
15.102    	3.808    	14.080    
15.545    	3.795    	14.363    
16.000    	3.769    	14.942    
16.469    	3.766    	15.584    
16.951    	3.810    	16.315    
17.448    	3.856    	17.083    
17.959    	3.870    	17.560    
18.486    	3.913    	17.851    
19.027    	3.947    	18.401    
19.585    	3.879    	19.419    
20.159    	3.873    	20.343    
20.749    	3.941    	21.464    
21.357    	4.033    	22.751    
21.983    	4.096    	23.683    
22.627    	4.180    	24.388    
